Pillar,Principle,Best Practice,Relevant (Y/N),Score (0-2),Finding/Notes,Verified,Cloud
Data & AI Governance,Establish governance processes,,,,,,AWS
,,Establish governance process,Y,1,Unity Catalog in use but 2411 catalogs suggest ad-hoc governance. Formalize process.,Y,AWS
,,Centralize access control,Y,2,Unity Catalog access control centralized. Metastore owner: Sample User 01.,Y,AWS
,,Configure audit logging,Y,1,Workspace configuration accessible; audit logging partially verified. Enable system tables for full audit.,Y,AWS
,,Audit events,Y,1,Workspace settings accessible; configure systematic audit event monitoring and alerting via system tables.,Y,AWS
,,Account-level group management,Y,1,"1666 group(s) present but IdP sync is not verifiable from the workspace API (externalId is exposed only at the account level). Verify account-level, IdP-synced groups in the account console. [Why unverifiable: this is configured at the Databricks account level, which the workspace REST API does not expose. Confirm it in the account console before treating it as a gap.]",N,AWS
,,Inference tables / payload logging for AI endpoints,Y,1,9/27 LLM endpoint(s) log payloads. Enable inference tables on the remaining endpoints.,Y,AWS
Data & AI Governance,Manage metadata centrally,,,,,,AWS
,,Manage metadata in one place,Y,2,Single metastore 'acme_metastore'; metadata managed centrally.,Y,AWS
,,Add descriptions,Y,0,2411 catalogs — likely many lack descriptions. Add comments to schemas and tables.,Y,AWS
,,Prefer managed tables,Y,1,"377 external location(s) configured, but the managed-vs-external table split is not verifiable from the API (external-location count is not a reliable proxy). Prefer UC managed tables for new tables. [Why unverifiable: the workspace REST API does not expose enough detail to confirm this. Treat as needs manual review, not a confirmed gap.]",N,AWS
Data & AI Governance,Track lineage and discovery,,,,,,AWS
,,Track lineage,Y,1,Unity Catalog lineage available but active tracking not verified. Monitor lineage usage.,Y,AWS
,,Allow discovery,Y,1,Unity Catalog available but 2411 catalogs hinder discovery. Consolidate catalogs.,Y,AWS
,,BROWSE privilege for discovery,Y,1,Unity Catalog in use. Grant BROWSE privilege on catalogs to All account users for data discovery.,Y,AWS
Data & AI Governance,Govern AI assets,,,,,,AWS
,,Govern AI assets,Y,2,63 model(s) governed in Unity Catalog (Vector Search indexes: 61). AI assets governed with data.,Y,AWS
,,Models registered in Unity Catalog,Y,2,All 63 registered model(s) are in Unity Catalog. Centralized model governance in place.,Y,AWS
Data & AI Governance,Define data quality standards,,,,,,AWS
,,Define DQ standards,Y,1,16 DLT pipelines present — verify DQ expectations are defined.,Y,AWS
,,Use DQ tools,Y,1,16 DLT pipelines — verify expectations are actively used.,Y,AWS
Data & AI Governance,Enforce standardized formats,,,,,,AWS
,,Enforce standardized formats,Y,1,"Unity Catalog + Delta Lake in use but cannot verify all tables use Delta format from API. [Why unverifiable: the workspace REST API does not expose enough detail to confirm this. Treat as needs manual review, not a confirmed gap.]",N,AWS
,,,,,,,AWS
Interoperability & Usability,Standard integration patterns,,,,,,AWS
